"date","calls"
2010-11-22,208
2010-11-21,175
2010-11-20,256
2010-11-19,313
2010-11-18,261
2010-11-17,238
2010-11-16,188
2010-11-15,271
2010-11-14,211
2010-11-13,232
2010-11-12,305
2010-11-11,265
2010-11-10,190
2010-11-09,197
2010-11-08,182
2010-11-07,230
2010-11-06,266
2010-11-05,279
2010-11-04,332
2010-11-03,292
2010-11-02,213
2010-11-01,251
2010-12-31,287
2010-12-30,281
2010-12-29,316
2010-12-28,241
2010-12-27,220
2010-12-26,181
2010-12-25,204
2010-12-24,241
2010-12-23,314
2010-12-22,315
2010-12-21,287
2010-12-20,215
2010-12-19,165
2010-12-18,212
2010-12-17,275
2010-12-16,307
2010-12-15,230
2010-12-14,266
2010-12-13,276
2010-12-12,179
2010-12-11,187
2010-12-10,253
2010-12-09,268
2010-12-08,281
2010-12-07,250
2010-12-06,218
2010-12-05,200
2010-12-04,229
2010-12-03,265
2010-12-02,286
2010-12-01,271
2011-01-31,262
2011-01-30,220
2011-01-29,274
2011-01-28,293
2011-01-27,267
2011-01-26,226
2011-01-25,283
2011-01-24,268
2011-01-23,185
2011-01-22,297
2011-01-21,313
2011-01-20,278
2011-01-19,271
2011-01-18,342
2011-01-17,260
2011-01-16,196
2011-01-15,224
2011-01-14,258
2011-01-13,245
2011-01-12,242
2011-01-11,218
2011-01-10,235
2011-01-09,212
2011-01-08,256
2011-01-07,290
2011-01-06,287
2011-01-05,297
2011-01-04,266
2011-01-03,178
2011-01-02,178
2011-01-01,248
2011-02-28,233
2011-02-27,178
2011-02-26,242
2011-02-25,294
2011-02-24,270
2011-02-23,277
2011-02-22,290
2011-02-21,274
2011-02-20,215
2011-02-19,225
2011-02-18,291
2011-02-17,352
2011-02-16,196
2011-02-15,212
2011-02-14,226
2011-02-13,170
2011-02-12,234
2011-02-11,279
2011-02-10,337
2011-02-09,271
2011-02-08,277
2011-02-07,348
2011-02-06,230
2011-02-05,288
2011-02-04,346
2011-02-03,266
2011-02-02,271
2011-02-01,234
2011-03-31,351
2011-03-30,3
2011-03-29,291
2011-03-28,308
2011-03-27,199
2011-03-26,248
2011-03-25,289
2011-03-24,290
2011-03-23,336
2011-03-22,319
2011-03-21,275
2011-03-20,216
2011-03-19,277
2011-03-18,280
2011-03-17,365
2011-03-16,229
2011-03-15,285
2011-03-14,288
2011-03-13,210
2011-03-12,248
2011-03-11,259
2011-03-10,309
2011-03-09,274
2011-03-08,266
2011-03-07,270
2011-03-06,214
2011-03-05,243
2011-03-04,296
2011-03-03,234
2011-03-02,249
2011-03-01,299
2011-04-30,292
2011-04-29,221
2011-04-28,256
2011-04-27,225
2011-04-26,238
2011-04-25,249
2011-04-24,180
2011-04-23,249
2011-04-22,295
2011-04-21,331
2011-04-20,231
2011-04-19,315
2011-04-18,292
2011-04-17,203
2011-04-16,253
2011-04-15,307
2011-04-14,315
2011-04-13,252
2011-04-12,311
2011-04-11,282
2011-04-10,256
2011-04-09,243
2011-04-08,304
2011-04-07,290
2011-04-06,246
2011-04-05,311
2011-04-04,258
2011-04-03,204
2011-04-02,275
2011-04-01,377
2011-05-31,264
2011-05-30,227
2011-05-29,240
2011-05-28,290
2011-05-27,309
2011-05-26,280
2011-05-25,238
2011-05-24,261
2011-05-23,269
2011-05-22,235
2011-05-21,307
2011-05-20,302
2011-05-19,279
2011-05-18,272
2011-05-17,237
2011-05-16,282
2011-05-15,221
2011-05-14,264
2011-05-13,329
2011-05-12,345
2011-05-11,251
2011-05-10,308
2011-05-09,243
2011-05-08,218
2011-05-07,267
2011-05-06,326
2011-05-05,302
2011-05-04,255
2011-05-03,282
2011-05-02,262
2011-05-01,210
2011-06-30,359
2011-06-29,291
2011-06-28,275
2011-06-27,271
2011-06-26,220
2011-06-25,251
2011-06-24,299
2011-06-23,300
2011-06-22,303
2011-06-21,287
2011-06-20,256
2011-06-19,220
2011-06-18,254
